finding_id,symptom,direct_root_cause,upper_root_cause,fixed_source,affected_consumer,targeted_test,negative_mutation,runtime_evidence,prevention_rule,status
CRF-25,GET /adm/api/health 가 400 EXTERNAL_HEADER_REQUIRED,Liveness/Readiness 에 업무 거래 Header 강제,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/src/main/resources/application-adm.yml,launcher/LB/오케스트레이터 probe,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_control_plane_surface_is_exempt_from_business_headers,mutation_control_plane_management_root_paths_removed,consumer-e2e49 stage04 PASS,Harness 35.2 (9) probe 는 업무 Header 를 요구하지 않는다,SOURCE_FIXED_TARGETED_PENDING
CRF-26,감사 기록이 contains multiple keys 로 실패,생성 키 컬럼 미지정,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,AdmAuditDeliveryService | AdmApprovalRepository | AdmApprovalEngineService | CpfCommonCacheRefreshEventRepository | BatchOperationsCompatibilityService,PostgreSQL/Oracle 모든 Runtime,cpf-tools/verification/tests/test_cpf_runtime_standalone_startability_contract.py::test_generated_keys_name_their_key_columns,mutation_generated_key_columns_removed,consumer-e2e49 stage04 PASS,생성 키는 컬럼을 명시한다,SOURCE_FIXED_TARGETED_PENDING
CRF-27,GET /adm/ SPA 진입이 400 으로 거절,Control Plane Browser Surface 에 업무 Header 강제,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/src/main/resources/application-adm.yml,ADM Browser 콘솔,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_control_plane_spa_root_is_listed,mutation_control_plane_adm_root_path_unlisted,consumer-e2e49 stage04 spa PASS,Harness 35.2 (9),SOURCE_FIXED_TARGETED_PENDING
CRF-28,ADM 로그인이 CSRF_TOKEN_MISSING 으로 항상 403,local 평문 HTTP 인데 세션/CSRF 쿠키가 Secure 기본값,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-admin/src/main/resources/application-adm-local.yml,local ADM 콘솔 로그인,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_local_profile_allows_loopback_cookie,mutation_local_profile_secure_cookie_reentry,consumer-e2e49 stage04 login PASS,local profile 은 loopback 평문 경로를 성립시킨다,SOURCE_FIXED_TARGETED_PENDING
CRF-29,비정상 종료 후 재기동이 CpfRuntimeFenceException 으로 차단,죽은 프로세스의 lease 를 회수할 수 없음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/platform-operations/runtime-control/.../CpfRuntimeControlPlaneRepository.java,모든 Runtime 재기동,cpf-starters/platform-operations/runtime-control/src/test/java/com/cpf/platform/operations/runtimecontrol/internal/CpfRuntimeInstanceIdentityContractTest.java#deadSameHostProcessLeaseCanBeTakenOver,cpf-starters/platform-operations/runtime-control/src/test/java/com/cpf/platform/operations/runtimecontrol/internal/CpfRuntimeInstanceIdentityContractTest.java#livingSameHostProcessLeaseIsNeverTakenOver,consumer-e2e49 stage04-05 PASS,같은 Host 의 죽은 pid lease 만 승계한다,SOURCE_FIXED_TARGETED_PENDING
CRF-30,업무 Domain Runtime 이 CPF_PLATFORM_DB role 해석 실패,cpf-starter-common 이 요구하는 role 을 Domain 이 미선언,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf_domain_generator.py | cpf-backoffice/online | cpf-member | cpf-external application.yml,모든 업무 Domain Runtime,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_business_domain_declares_platform_db_role,mutation_domain_runtime_platform_db_role_removed,consumer-e2e49 stage05 PASS,Harness 35.2 (2),SOURCE_FIXED_TARGETED_PENDING
CRF-31,MBW 가 CUSTOMER_BUSINESS_DB role 해석 실패,Business Domain 계약을 선언하고 domain persistence 를 미선언,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/src/main/resources/application.yml,MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_business_domain_declares_domain_persistence,mutation_domain_persistence_declaration_removed,consumer-e2e49 stage05 PASS,Business Domain 선언은 persistence 계약을 동반한다,SOURCE_FIXED_TARGETED_PENDING
CRF-32,MBW 기동이 CmnJwtService bean 없음으로 실패,CRF-14 와 같은 scan 의존 구조,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-starters/security/.../CpfSecurityCommonAutoConfiguration.java,MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_security_common_provides_jwt_service,mutation_security_common_jwt_service_unregistered,consumer-e2e49 stage05 PASS,Starter Bean 은 AutoConfiguration 으로 공급한다,SOURCE_FIXED_TARGETED_PENDING
CRF-33,Cannot subclass final class 로 MBW 기동 실패,트랜잭션 프록시 대상 Bean 이 final class,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/.../BackofficeInitialOperatorBootstrapService.java,MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_transactional_beans_are_proxyable,mutation_transactional_bean_made_final,consumer-e2e49 stage05 PASS,프록시 대상 Bean 은 final 이 아니다,SOURCE_FIXED_TARGETED_PENDING
CRF-34,CpfService must extend an abstract Domain Base Class 로 기동 실패,@CpfService 계약 위반,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/.../BackofficeInitialOperatorBootstrapService.java,MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_cpf_service_extends_domain_base_class,mutation_cpf_service_base_class_removed,consumer-e2e49 stage05 PASS,@CpfService 는 Domain Base Class 를 상속한다,SOURCE_FIXED_TARGETED_PENDING
CRF-35,Generated Domain MyBatis mapper resources are required 로 기동 실패,MyBatis mapper 가 없는 Domain 에 mybatis provider 선언,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/src/main/resources/application.yml,MBW 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_mybatis_provider_requires_mapper_resources,mutation_domain_persistence_provider_mismatch,consumer-e2e49 stage05 PASS,persistence provider 는 실제 구현과 일치한다,SOURCE_FIXED_TARGETED_PENDING
CRF-36,두 번째 Runtime 이 동일 instanceId fence 로 기동 실패,Launcher 가 Target 별 instanceId 를 부여하지 않음,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java,한 Host 다중 Runtime,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_launcher_assigns_per_target_instance_id,mutation_runtime_instance_id_assignment_removed,consumer-e2e49 stage05 PASS,한 Host 다중 Runtime 은 고유 instanceId 를 갖는다,SOURCE_FIXED_TARGETED_PENDING
CRF-37,OPS_RUNTIME_INSTANCE_STATE check constraint 위반으로 등록 실패,cpf.runtime.role 에 정본 밖 자유 문자열 사용,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/src/main/resources/application.yml,MBW Runtime 등록,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_runtime_role_uses_canonical_values,mutation_runtime_role_value_out_of_contract,consumer-e2e49 stage05 PASS,Runtime Role 은 Registry 정본 값만 쓴다,SOURCE_FIXED_TARGETED_PENDING
CRF-38,MBW 가 mbw_audit_chain_lock 없음으로 기동 실패,Prebuilt Domain 정본 스키마를 공개 bootstrap 이 미적용,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,open-git-surface-policy.json | cpf-tools/runtime/bootstrap/CpfBootstrap.java,MBW DB 초기화,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_platform_and_prebuilt_domain_ddl_are_public_assets,mutation_prebuilt_domain_ddl_projection_removed,consumer-e2e49 stage02 PASS,Prebuilt Domain 스키마는 배포본 자산이다,SOURCE_FIXED_TARGETED_PENDING
CRF-39,seed 적용이 check constraint / ON CONFLICT 오류로 실패,정본 seed 가 정본 schema 계약과 어긋남,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/db/canonical/seed-model.json,모든 Vendor DB 초기화,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_canonical_seed_matches_schema_contract,mutation_canonical_seed_conflict_target_invalid,consumer-e2e49 stage02 PASS,seed 는 schema 제약/유일키와 일치해야 한다,SOURCE_FIXED_TARGETED_PENDING
CRF-40,Backoffice Web 이 ObjectMapper bean 없음으로 기동 실패,Spring Boot 4 는 Jackson 3 만 자동구성,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,BackofficeWebJsonConfiguration.java | cpf-backoffice-web/build.gradle,Backoffice Web 단독 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_channel_front_provides_jackson2_object_mapper,mutation_channel_front_object_mapper_removed,consumer-e2e49 stage05 PASS,코드가 쓰는 Jackson 버전의 Mapper 를 공급한다,SOURCE_FIXED_TARGETED_PENDING
CRF-41,최초 운영자 생성이 EXISTING_OPERATOR 로 영구 차단,자격 없는 sample operator 를 설치 완료로 판정,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/db/vendor/*/runtime/backoffice/repository/auth-bootstrap-operator-count.sql,MBW 최초 로그인,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_initial_operator_predicate_requires_usable_credential,mutation_initial_operator_predicate_counts_credentialless,consumer-e2e49 stage06 PASS,설치 완료 판정은 인증 가능한 운영자 존재다,SOURCE_FIXED_TARGETED_PENDING
CRF-42,runtime stop 이 refusing to stop reused pid 로 실패,source Runtime 을 bootRun 으로 띄워 wrapper pid 기록,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java,source Runtime lifecycle,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_source_runtime_runs_its_built_artifact,mutation_source_runtime_uses_bootrun,consumer-e2e49 stage07 PASS,Launcher 가 기록하는 pid 는 Runtime 자신이다,SOURCE_FIXED_TARGETED_PENDING
CRF-43,MBW 최초 운영자 생성이 no bound context 로 실패,BackofficeInitialOperatorBootstrapRunner(ApplicationRunner)가 관리 실행 Context 없이 감사 기록,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/.../BackofficeInitialOperatorBootstrapRunner.java,Fresh 환경 MBW 첫 기동,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_business_domain_bootstrap_runner_opens_managed_context,mutation_mbw_bootstrap_runner_context_scope_removed,consumer-e2e49 stage06 PASS,Harness 35.2 (8),SOURCE_FIXED_TARGETED_PENDING
CRF-44,MBW 모든 요청이 본문 없는 401,SecurityFilterChain 부재로 Boot 기본 체인이 자기 인증 endpoint 차단,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-backoffice/online/.../BackofficeSecurityConfiguration.java,MBW 전체 API,cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_runtime_declares_its_own_security_chain,mutation_runtime_security_chain_removed,consumer-e2e49 stage06 PASS,Runtime 은 자기 인가 경계를 선언한다,SOURCE_FIXED_TARGETED_PENDING
CRF-45,cpf bootstrap --run 으로 띄운 Generated Domain Online 을 cpf stop 이 멈추지 못한다,bootstrap 이 :online:bootRun 으로 띄워 Gradle wrapper pid 를 상태 파일에 기록,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,cpf-tools/runtime/bootstrap/CpfBootstrap.java#startRuntimes/buildDomainRuntimeJar,공개 Workspace 의 Generated Domain 개발자 (cpf bootstrap --run / cpf stop),cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_bootstrap_domain_runtime_runs_its_built_artifact,mutation_domain_runtime_started_by_bootrun,"수정 후 실측(2026-09-05): cpf run 이 Domain 실행물(bootJar)을 만들어 java -jar 로 띄우고 [11] Runtime PASS started=3, cpf stop exit=0 으로 정상 정지. 상태 파일 pid 가 곧 Runtime 이다. | consumer-e2e55 (최종 VERIFIED 배포본, 3168 files) 전 단계 PASS(08 canonical cpf lifecycle 포함)",Harness 35.2 (3) 기동한 프로세스가 곧 Runtime 이어야 한다,CLOSED_TARGETED_AND_RUNTIME
CRF-46,최초 운영자로 첫 로그인하면 비밀번호 변경이 강제되어 최초 설치 인증 흐름이 끊긴다,최초 운영자 생성 SQL 이 password_change_required_yn 을 'Y' 로 넣는다,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,"cpf-tools/db/vendor/{mariadb,oracle,postgresql}/runtime/backoffice/repository/auth-bootstrap-operator.sql",Fresh 환경 최초 운영자 로그인 (MBW / Backoffice Web),cpf-tools/verification/tests/test_cpf_public_consumer_regression_contract.py::test_initial_operator_is_usable_immediately,mutation_initial_operator_forced_password_change,consumer-e2e49 stage06 login PASS,Harness 35.2 (9) 최초 설치 계약은 즉시 사용 가능한 자격을 만든다,SOURCE_FIXED_TARGETED_PENDING
CRF-47,"공개 배포본 Linux 에서 ./bin/cpf-start.sh 실행이 ""bin/cpf.sh: No such file or directory"" 로 즉시 실패",lifecycle wrapper 가 공개 배포 대상이 아닌 bin/cpf.sh 로 위임(내부 tree 에서도 runtime 명령 없는 legacy CLI),One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,"cpf-tools/release/open-git/templates/bin/cpf-*.sh, bin/cpf.sh",Linux/macOS 공개 사용자 전체 Runtime lifecycle 경로,cpf-tools/verification/tests/test_cpf_runtime_lifecycle_cli_contract.py::test_wrapper_verbs_are_real_cli_commands,mutation_launcher_reimplements_command_parsing,"수정 전 재현: sh ./bin/cpf-start.sh --target admin -> ""bin/cpf.sh: No such file or directory"". 수정 후 실측(2026-09-05 cpf-release/open-git): cpf-start.sh/cpf-help.sh/cpf-status.sh/cpf-stop.sh 가 canonical CLI 로 위임되어 START/targets/status/stop 모두 exitCode=0",Harness 38.2 (6) OS wrapper 는 자체 명령 해석을 갖지 않는다,CLOSED_TARGETED_AND_RUNTIME
CRF-48,cpf-domain-new / cpf-domain-sync wrapper 가 unsupported command=domain 으로 실패,wrapper 가 canonical 동사 domain-new 대신 'domain new' 를 보냄,One-WAS 통합 Runtime 으로만 검증했고 발행된 실행물 단독 기동 경로를 검증하지 않았다,"cpf-tools/release/open-git/templates/bin/cpf-domain-new.*, cpf-domain-sync.*",내부 template tree 의 cpf-domain-new/sync wrapper (공개 투영 대상은 아니나 같은 결함 계열),cpf-tools/verification/tests/test_cpf_runtime_lifecycle_cli_contract.py::test_wrapper_verbs_are_real_cli_commands,mutation_launcher_verb_parity_broken,consumer-e2e54 stage08 canonical cpf lifecycle PASS (wrapper 위임 동사가 실제 CLI 명령임을 실행으로 확인),Harness 38.4 wrapper 위임 동사는 실제 CLI 명령이어야 한다,CLOSED_TARGETED_AND_RUNTIME
CRF-49,Development Master INTERNAL cpf targets/status 가 legacy Python engine의 invalid choice로 exit 2,CpfCli.runtimeLifecycle이 INTERNAL selector를 Public Bootstrap이 아닌 internalRuntime(cpf_local_runtime.py)로 위임,Unified Lifecycle CLI는 profile과 무관하게 Catalog/Bootstrap을 단일 engine으로 써야 하는데 INTERNAL selector만 legacy engine에 남아 있었다,cpf-tools/runtime/cli/java/CpfCli.java | cpf-tools/runtime/bootstrap/CpfBootstrap.java,Development Master INTERNAL CLI와 Fresh Open Git Consumer lifecycle,test_cpf_runtime_lifecycle_cli_contract.py::InternalLifecycleCliRuntime::test_targets_and_group_status_do_not_fall_back_to_legacy_python_engine | test_cpf_public_consumer_regression_contract.py::test_public_runtime_lifecycle_is_self_contained,cpf-tools/verification/tests/test_cpf_runtime_lifecycle_cli_contract.py::InternalLifecycleCliRuntime::test_targets_and_group_status_do_not_fall_back_to_legacy_python_engine,2026-09-05 Windows Java25 INTERNAL cpf targets + cpf status platform exit 0 PASS; Fresh Open Git Consumer Runtime pending,Harness 38.2 profile-independent canonical lifecycle engine,SOURCE_FIXED_TARGETED_PENDING
CRF-50,Open Git Stage 05에서 ADM 93 NoClassDefFoundError + EDU 59 missing package + Domain-call parameter metadata 오류와 Backoffice Web JAR duplicate resource가 동시 발생,JDT compiler output을 Gradle build/classes/java와 공유해 asynchronous JDT가 Gradle class/resource output을 교체,JDT bin source 손상만 막고 Gradle/JDT output race 및 pre-isolation copied resource를 분리·정리하지 않았다,cpf-tools/build/cpf-root-conventions.gradle | cpf-tools/build/gradle-plugin/build.gradle | CPF_DEVELOPMENT_HARNESS.md,Java25 Release Publication과 ADM/EDU/Integration/Backoffice Web 및 VS Code workspace,test_cpf_vscode_classpath_output_contract.py::test_mutation_shared_jdt_and_gradle_output_is_rejected | test_stale_pre_isolation_jdt_resources_are_removed_only_when_identical_to_gradle_resources | test_cpf_resource_policy_contract.py,cpf-tools/verification/tests/test_cpf_vscode_classpath_output_contract.py::test_mutation_shared_jdt_and_gradle_output_is_rejected,2026-09-05 Java25 :apps:backoffice-web:jar + :internal:integration:http:test PASS; :apps:admin:test + :apps:education:test PASS; cpfVerifyIdeClasspathModel/Ready PASS; Open Git rerun pending,Harness 26.7 JDT는 build/ide/classes만 쓰고 stale byte-identical resource copy만 archive 전 제거하며 differing duplicate는 FAIL,SOURCE_FIXED_TARGETED_PENDING
