requirement_id,priority,owner,requirement,change_target,consumer,acceptance_criteria,verification_method,evidence,regression_protection,development_status,verification_status
QA39-011,P0,Notification,"Notification Worker를 실제 스케줄링하고 만료 lease 회수, UNKNOWN 결과 분리, 반송/수신 결과, 승인/재처리를 구현한다.",notification/**; notification-email/**; notification-sms-spi/**,Notification service,Process kill 후 재처리되고 UNKNOWN이 completed/sent로 집계되지 않는다.,DB + SMTP/SMS fixture + kill test,notification lifecycle evidence,Bean 존재만으로 완료 처리 방지,부분 구현,미검증
QA39-012,P0,Scheduling,Quartz 공개 Starter와 scheduled-service Profile을 제거하고 Scheduler Ownership을 cpf-batch에 통합한다. Batch 내부 구현으로 Quartz를 사용할 경우 실제 JDBC JobStore·3 Vendor Schema·다중 인스턴스 failover를 입증한다.,cpf-starters/scheduler-quartz/**; cpf-starters/profiles/scheduled-service/**; cpf-batch/scheduler/**; DB migration,Batch Scheduler,일반 업무 개발자 공개 Starter 목록에 Quartz가 없고 batch-service Profile에서만 Scheduler가 제공되며 실제 Runtime 검증 없이는 완료가 아니다.,3 Vendor runtime test,Quartz DB/log evidence,clustered=true 문자열만으로 완료 처리 방지,부분 구현,미검증
QA39-013,P0,Consumer Migration,cpf-batch subprojects 전역에 Event Kafka/Scheduled Profile을 일괄 주입하지 않고 실행 모듈별 최소 Profile만 선언한다.,cpf-batch/build.gradle; 하위 build.gradle,BAT contract/runtime/testkit/실행 모듈,contract/testkit에는 선택 Runtime이 전이되지 않고 각 실행 모듈만 필요한 Capability를 가진다.,dependency graph per subproject,dependency report,모든 하위 모듈에 무거운 Runtime 강제 주입 방지,미구현,미검증
QA39-014,P0,Consumer Migration,ADM/BZA/Gateway/Reference/Member가 Profile과 Leaf를 중복 참조하지 않도록 단일 소비 규칙을 적용한다.,각 Consumer build.gradle,제품 Runtime,Profile가 포함한 Leaf를 Consumer가 다시 직접 선언하지 않는다.,Gradle dependency graph duplicate gate,consumer dependency report,의존성 선택 책임 혼재 방지,부분 구현,미검증
QA39-015,P0,Generator,Generator는 6개 Profile과 7개 Capability Group만 입력받고 Provider binding으로 내부 Leaf를 resolved lock에 기록한다.,cpf-tools/generator/**,신규 Generated Domain,사용자가 개별 Provider Artifact를 직접 선택하지 않으며 동일 업무 Source에서 binding/config 변경만으로 Provider를 교체할 수 있다.,3개 신규 Domain 생성; fresh clone build,generated domain ZIP/hash,Starter 난립이 사용자 UX로 전파되는 문제 방지,부분 구현,미검증
QA39-016,P0,Artifact/BOM,"settings, Artifact Catalog, BOM, Profile Catalog를 하나의 Canonical Starter Catalog에서 생성한다.",settings.gradle; cpf-tools/release; platform-bom; generator contracts,외부 Consumer,모든 Artifact ID/Owner/Publication이 1:1이고 수동 중복 Constraint가 없다.,catalog generation + parity gate,catalog/BOM POM hash,정본 분산과 stale artifact 방지,미구현,실패
QA39-017,P0,Evidence,Hash Manifest가 존재하지 않는 Evidence를 참조하지 않도록 exact SHA 기반으로 재생성한다.,cpf-docs/work/manifest; cpf-docs/evidence,QA/Codex,모든 hash 대상이 존재하고 hash가 일치하며 Evidence가 현재 SHA를 기록한다.,hash verification script,manifest verification log,Stale/Missing Evidence 재발 방지,미구현,실패
QA39-018,P0,CI,master exact SHA에 Java/Frontend/DB/Runtime/Supply-chain CI를 연결하고 required check로 운영한다.,.github/workflows/**,전체 제품,Commit에 check/status가 존재하고 필수 Stage가 성공한다.,GitHub Actions,workflow run URL/artifact hash,개발자 로컬 보고만으로 완료 판정 방지,미구현,미검증
QA39-019,P0,Database,MariaDB/PostgreSQL/Oracle 전용 empty schema에서 Starter DB pack을 포함한 Fresh/Upgrade/Rollback/Reapply/Drift를 실행한다.,cpf-tools/db/**; DB 보유 Starter,모든 DB Consumer,Vendor별 object count 0부터 lifecycle 전 단계가 성공한다.,실 DB lifecycle,Vendor evidence,SQL 파일 존재만으로 완료 처리 방지,부분 구현,미검증
QA39-020,P0,Runtime,유지 대상인 Kafka/RabbitMQ/JMS/IBM MQ/TCP/SFTP/Notification/Observability를 실제 외부 Runtime과 연결해 정상·오류·결과불명·kill·다중 인스턴스를 검증한다.,유지 Capability Runtime 및 test fixtures,실제 제품 Consumer,Requirement별 runtime evidence가 존재한다.,Docker/실환경 fault test,Stage 11~12 logs,정적 Harness를 Runtime 검증으로 오인 방지,부분 구현,미검증
QA39-021,P1,Security,SFTP/FTPS/MQ/HTTP 등 비밀값을 평문 ConfigurationProperties로 직접 받지 않고 CpfSecretProvider를 사용한다.,integration-sftp; messaging-*; http-client 등,모든 외부연계 Consumer,prod에서 raw password 설정은 fail-closed하고 secret reference만 허용한다.,Spring context security test,masked config evidence,민감정보 노출 방지,부분 구현,미검증
QA39-022,P1,Operations,각 유지 Starter는 Health가 단순 설정값 UP가 아니라 실제 의존성 상태와 degraded/unknown을 표현하고 운영 조회·재처리 API를 제공한다.,유지 Starter 전체,ADM/운영자,실제 장애 시 DOWN/DEGRADED와 원인 코드가 나오며 민감정보는 마스킹된다.,fault injection + ADM API,health/ops evidence,보여주기식 HealthIndicator 방지,부분 구현,미검증
QA39-023,P1,Thin Wrapper Removal,"AOP Service Access, Validation Starter, Resilience Starter, Feature Flag Starter를 관련 AutoConfiguration·CPF Wrapper·불필요 Core 계약·Catalog·BOM·Generator·Test·문서와 함께 완전 제거한다.",aop-service-access; validation; resilience; featureflag,현재 Consumer 재평가,4개 Starter와 가치 없는 전용 API/Wrapper/설정/참조가 0건이며 필요한 표준 오류·보안 계약만 적정 Owner에 남는다.,Final Delete Manifest; FQN/reference-zero gate; fresh compile/test,removal/value evidence,Framework 비대화 방지,부분 구현,미검증
QA39-024,P1,File Capability,"Attachment, Archive, Tabular, SFTP를 공개 File Capability Group으로 통합하고 무거운 Library와 Provider는 선택형 내부 Leaf로 유지한다.",attachment; file-archive; tabular-poi; integration-sftp,ADM/BZA/Reference,개발자는 file 그룹 API만 사용하고 POI/SFTP/Archive OSS 타입을 직접 참조하지 않으며 선택하지 않은 기능 의존성은 포함되지 않는다.,generator + consumer test,file capability graph,유사 Starter 과세분화 방지,미구현,미검증
QA39-025,P1,Transaction Integration,"HTTP Service Call, TCP, Fixed-length, ISO8583을 Integration Capability Group으로 통합하고 Transport·Codec·Protocol은 선택형 내부 Leaf로 관리한다.",integration-tcp; integration-fixedlength; integration-iso8583,금융 전문 Consumer,업무 개발자는 CPF Integration Public API로 대상·요청 의도만 표현하고 timeout/correlation/unknown/reconcile을 공통 처리한다.,simulator + fault test,protocol evidence,사용자가 세 Artifact를 직접 조합하는 문제 방지,부분 구현,미검증
QA39-026,P1,Public API,유지 Capability의 Public API는 업무 의도 중심의 간단한 CPF 메서드와 CPF DTO/Result를 제공하고 OSS 타입·설정 객체·예외를 노출하지 않는다.,모든 Starter public package,업무 개발자,대표 Consumer가 OSS import 없이 1~3개 핵심 CPF 호출로 정상 흐름을 구현하며 실패·UNKNOWN·tracking 결과를 표준 타입으로 받는다.,jdeps/API scan + consumer fixture,public API report,Provider lock-in 방지,부분 구현,미검증
QA39-027,P1,Code Quality,제품 Source는 포맷·가독성·예외 분류·Null 처리·시간 주입·문자열 상수 규칙을 준수한다.,이번 추가 Source 전체,유지보수 개발자,한 줄 압축 Source와 광범위 wildcard import가 없고 lint/checkstyle이 통과한다.,formatter/checkstyle/error-prone,static analysis report,리뷰 불가능한 압축 코드 재발 방지,미구현,미검증
QA39-028,P1,Frontend,ADM/BZA 전체 lint/typecheck/test/build/Playwright와 Starter 운영 화면을 검증한다.,cpf-admin/frontend; cpf-biz-admin/frontend,운영자,검색/상세/오류/권한/위험조치/접근성/반응형이 검증된다.,npm + browser 3종,frontend evidence,Backend만 완료 처리 방지,부분 구현,미검증
QA39-029,P1,Supply Chain,유지·내부화된 Artifact만 SBOM/License/Vulnerability/Publication 검증 대상에 포함하고 완전 제거 대상과 삭제된 공개 Aggregate/Profile은 Catalog·BOM·Publication에서 제외한다.,cpf-tools/release; BOM; publication,외부 고객,공식 Artifact마다 POM/SBOM/hash가 일치한다.,clean staging publish + scanner,publication evidence,가짜/미등록 Artifact 배포 방지,부분 구현,미검증
QA39-030,P1,Deletion Safety,"삭제 대상은 exact path 단위 작업목록, 참조 제거, Consumer 대체, Test·Catalog·BOM·Generator·문서 정리, 빈 폴더 확인을 완료한 뒤 Final Delete Manifest와 PowerShell 한 줄 명령으로만 삭제한다.",cpf-docs/work/manifest; 대상 Source,모든 공동 작업자,"삭제 대상마다 exact path, 선행 작업, 대체 위치, 검증, 잔여참조 0건이 기록되고 wildcard 없는 한 줄 명령이 제공된다.",manifest review + git diff,delete evidence,광범위 삭제 방지,부분 구현,미검증
QA39-031,P1,Protected Paths,보호 경로는 QA Overlay와 Delete Manifest에서 제외하고 필요 사항만 Owner Action으로 기록한다.,보호 경로 4개,다른 GPT Owner,변경 0건,path gate,protected path report,다중 GPT 충돌 방지,완료,완료
QA39-032,P1,Completion Gate,Requirement별 Source/API/SQL/Test/Runtime/Evidence가 모두 연결되지 않으면 development_status=완료를 금지한다.,Matrix/검수 스크립트,모든 AI,완료 상태 행은 필수 Evidence 열이 모두 채워진다.,matrix validator,gate result,일괄 156/156 완료 상향 재발 방지,미구현,미검증
QA39-033,P1,Starter Selection UX,"Generator·문서·카탈로그에 6개 Profile·7개 Capability의 비교표, 편의 API, 확장 SPI, 권장 조합을 제공하고 내부 Leaf 목록은 고급 내부 정보로 숨긴다.",generator contracts; official docs owner action,개발자,한 화면에서 목적별 6개 Profile과 8~12개 Capability를 선택할 수 있다.,usability walkthrough,selection screenshot/log,선택 불가능한 Artifact 목록 방지,미구현,미검증
QA39-034,P1,Value Regression,"신규 Starter/Capability 추가는 Value Contract, 편의 API, 고객사 확장 SPI, 실제 Consumer, 제거 대안 비교, footprint, Runtime Evidence 없이는 승인하지 않는다.",CI/PR template/verification,향후 개발자,신규 Starter가 자동 Gate를 통과해야만 Catalog에 등록된다.,fixture PR gate,CI log,멋내기 Starter 재발 방지,미구현,미검증
QA39-035,P0,QA Governance,요건 우선순위를 최상위 목표/Architecture → QA39 최종 개발요청·Final Matrix → 자체 개발요건 → 구현 리포트 순으로 적용한다. QA 개발요건과 자체요건이 충돌하면 QA 개발요건이 무조건 우선한다.,모든 QA39 요청·자체요건·Handover·Codex 문서,"개발 GPT, QA GPT, Codex",자체요건은 QA 요건을 약화·변경·취소할 수 없으며 충돌 항목은 구현하지 않고 CONFLICT로 기록 후 QA 요건에 맞게 수정한다.,문서 precedence 검색; 자체요건 충돌 검토,Precedence section + conflict register,자체 판단으로 삭제 확정 대상을 제품화하거나 제거 결정을 되돌리는 문제 방지,미구현,미검증
QA39-036,P0,Starter Architecture,"Starter 최종 판정을 완전 제거, 공개면 제거·내부화, 유지·완성으로 확정하고 임의 재판정을 금지한다.",Starter Catalog; settings; BOM; generator; profiles; consumers,모든 제품·생성 Domain,"완전 제거 대상 11개, 공개 Aggregate/Profile 제거 및 내부화 대상, 유지 7개 그룹의 판정이 Catalog·Source·Build에 동일하게 적용된다.",Starter catalog/action parity; reference-zero/dependency graph,Final Starter Decision Catalog,REMOVE_OR_INTERNALIZE 같은 잠정 상태 재도입 방지,미구현,미검증
QA39-037,P0,Starter Architecture,"유지 기능을 Data, Messaging, Integration, File, Notification, Security, Platform Operations 7개 Capability Group으로 그룹화하고 OpenAPI는 web-api, Scheduler는 batch-service Profile에 흡수한다.",settings/BOM/catalog/generator/profiles/starters,"업무 개발자, Generator",공개 선택은 6 Profile+7 Group이며 내부 Leaf는 선택 binding과 resolved lock으로만 노출된다.,public catalog count; generator UX; dependency graph,Public Surface Proposal + generated fixtures,기술·Provider별 Starter 난립 방지,미구현,미검증
QA39-038,P0,Public API Owners,"각 유지 Capability는 OSS 호출을 그대로 감싸지 않고 업무 의도 중심의 편의 API, 표준 Result/Tracking, 자동 설정·보안·감사·복구를 제공한다.",각 Capability public-api/runtime,"Generated Domain, ADM/BZA, Batch, Reference, Member",대표 업무 흐름이 OSS boilerplate 없이 CPF API로 구현되고 Provider별 설정·예외·Header·재시도 코드가 업무 Source에 없다.,consumer source audit; API usability fixture; runtime contract tests,API examples + consumer diff + contract logs,얇은 wrapper 재발 방지,미구현,미검증
QA39-039,P0,Extension SPI Owners,각 Provider형 Capability는 고객사 Provider를 추가할 수 있는 안정적 SPI와 conformance testkit을 제공하고 내부 OSS Adapter와 Public API를 분리한다.,messaging/data/integration/file/notification/security/operations SPI 및 testkit,고객사 확장 개발자,샘플 고객 Provider가 CPF 내부 Package 참조 없이 등록되고 기본 Provider와 동일 Contract Test를 통과한다.,customer plugin fixture compile/runtime; binary API check,plugin fixture logs + API surface report,Provider 종속과 Internal Package 직접 참조 방지,미구현,미검증
QA39-040,P0,Deletion/Repository Hygiene,완전 제거 및 공개 Profile/Aggregate 교체 대상의 exact path와 연관 Source·Core API·설정·Test·BOM·Catalog·Generator·문서·Evidence 작업을 상세 Delete Work Items로 관리한다.,cpf-docs/work/manifest/CPF_QA39_DELETE_WORK_ITEMS.csv; CPF_QA39_FINAL_DELETE_PATHS.txt,"개발 GPT, 사용자","삭제 대상별 선행 migration, 잔여참조 검색식, 삭제 후 검증, 빈 폴더·Dead Code·Stale Evidence 후보가 빠짐없이 기록된다.",manifest schema/coverage check; path existence/reference scan,Delete Work Items + final cleanup log,폴더만 삭제하고 Core/BOM/문서 잔재를 남기는 문제 방지,미구현,미검증
QA39-041,P0,Development Lead,개발 GPT는 구현 종료 전에 상세 개발 리포트와 독립 자체 리뷰를 남겨 QA가 전체 탐색을 반복하지 않고 변경·요건·검증·미완료를 바로 확인할 수 있게 한다.,cpf-docs/work/review/CPF_QA39_DEVELOPER_IMPLEMENTATION_REPORT.md; CPF_QA39_DEVELOPER_SELF_REVIEW.md; Codex package,"QA GPT, Codex, 다음 작업자","리포트에 exact SHA, 변경 파일/라인, Architecture 결정, Requirement 추적, 실행 명령·환경·시간·실제 결과, 실패·미실행, 삭제 결과, 회귀 위험, Evidence 경로가 포함되고 완료 주장과 증적이 일치한다.",report completeness gate; manifest/hash/evidence cross-check,Developer report + self-review + review package,개발 보고 누락으로 QA가 같은 검색·검증을 반복하는 문제 방지,미구현,미검증
QA39-042,P0,QA/Tooling,"최종 Root Overlay ZIP에 QA 요청, 자체요건, 변경 Source, 개발 리포트, 사후 리뷰, Codex 검수 패키지, Evidence, Delete Manifest, 한 줄 정리 명령, 파일 Hash를 모두 포함한다.",Root Overlay package,"사용자, QA GPT, Codex",Repository Root에 풀면 경로가 맞고 PACKAGE_MANIFEST의 파일 수·SHA가 ZIP과 일치하며 보호 경로와 미승인 Git 작업이 없다.,zip listing; hash verification; protected-path gate,Package manifest + SHA-256,산출물 누락·stale hash·반복 검수 방지,미구현,미검증
